sentence,intent
Nimm den Strom vom Brunnen,turn_off
Schalte die Poolpumpe ab,turn_off
Lass die Wegbeleuchtung ausgehen,turn_off
Mach die Gartenstrahler aus,turn_off
Deaktiviere das Terrassenlicht,turn_off
Schalte die Lichterkette am Baum ab,turn_off
Mach das Garagentor-Licht aus,turn_off
Lösche das Licht im Schuppen,turn_off
Verdunkle die Einfahrt,turn_off
Mach die Weihnachtsbeleuchtung aus,turn_off
Beende die Lichtershow,turn_off
Deaktiviere die Dekolichter,turn_off
Schalte die LED-Streifen ab,turn_off
Mach die Spots im Flur aus,turn_off
Mach die Kerzen-LEDs aus,turn_off
Lass die Vitrine dunkel sein,turn_off
Mach das Leselicht am Bett aus,turn_off
Schalte die Spiegelleuchte ab,turn_off
Mach das Arbeitslicht in der Werkstatt aus,turn_off
Deaktiviere die Dunstabzugshaube,turn_off
Stopp die Mikrowelle,turn_off
Mach den Backofen aus,turn_off
Schalte die Herdplatte ab,turn_off
Nimm dem Mixer den Strom,turn_off
Lass den Wasserkocher ausgehen,turn_off
Mach die Eismaschine aus,turn_off
Stopp den Geschirrspüler,turn_off
Deaktiviere den Trockner,turn_off
Schalte die Waschmaschine ab,turn_off
Mach den Luftreiniger aus,turn_off
Stopp den Luftbefeuchter,turn_off
Schalte die Klimaanlage ab,turn_off
Mach die AC aus,turn_off
Deaktiviere den Ventilator im Schlafzimmer,turn_off
Stopp die Lüftung,turn_off
Mach die Heizung im Bad aus,turn_off
Schalte das Handtuchregal ab,turn_off
Schalte den Heizlüfter aus,turn_off
Fahr die Heizung runter,turn_off
Deaktiviere den Handtuchwärmer,turn_off
Stopp die Bewässerung vorne,turn_off
Mach den Rasensprenger aus,turn_off
Nimm das Wasser vom Rasen,turn_off
Schalte das Ventil für den Garten ab,turn_off
Mach die Pumpe im Keller aus,turn_off
Lass den Saugroboter heimfahren,turn_off
Stopp den Wischroboter,turn_off
Deaktiviere die Alarmanlage,turn_off
Mach die Kameras aus,turn_off
Schalte die Überwachung ab,turn_off
Bring das System in den Ruhemodus,turn_off
Schalte die Sirene aus,turn_off
Mach den Bewegungsmelder aus,turn_off
Schalte das Nachtlicht im Flur ab,turn_off
Deaktiviere Szene Guten Morgen,turn_off
Beende den Tagesmodus,turn_off
Rechner umschalten,toggle
Spielkonsole togglen,toggle
Server Status wechseln,toggle
Monitor umschalten,toggle
Display Status ändern,toggle
Screen switchen,toggle
Laptop Strom umschalten,toggle
Drucker Zustand ändern,toggle
Scanner togglen,toggle
Soundbar umschalten,toggle
Subwoofer Status wechseln,toggle
Surround-Anlage togglen,toggle
Receiver umschalten,toggle
Apple TV Status ändern,toggle
Fire TV Stick switchen,toggle
Musikboxen umschalten,toggle
Verstärker Zustand wechseln,toggle
Radio in der Küche togglen,toggle
Musik im Wohnzimmer umschalten,toggle
Internetradio Status ändern,toggle
Außensteckdose switchen,toggle
Brunnen Strom umschalten,toggle
Poolpumpe togglen,toggle
Wegbeleuchtung Status wechseln,toggle
Gartenstrahler umschalten,toggle
Terrassenlicht togglen,toggle
Lichterkette umschalten,toggle
Garagentor-Licht Status ändern,toggle
Licht im Schuppen switchen,toggle
Einfahrt Beleuchtung umschalten,toggle
Weihnachtsbeleuchtung togglen,toggle
Lichtershow Status wechseln,toggle
Dekolichter umschalten,toggle
LED-Streifen togglen,toggle
Spots im Flur umschalten,toggle
Kerzen-LEDs Status ändern,toggle
Vitrine switchen,toggle
Leselicht togglen,toggle
Spiegelleuchte umschalten,toggle
Arbeitslicht Status wechseln,toggle
Dunstabzugshaube togglen,toggle
Mikrowelle umschalten,toggle
Backofen Status ändern,toggle
Herdplatte switchen,toggle
Mixer Strom umschalten,toggle
Wasserkocher togglen,toggle
Eismaschine Status wechseln,toggle
Geschirrspüler umschalten,toggle
Trockner togglen,toggle
Waschmaschine Status ändern,toggle
Luftreiniger switchen,toggle
Luftbefeuchter umschalten,toggle
Klimaanlage togglen,toggle
AC Status wechseln,toggle
Ventilator umschalten,toggle
Lüftung togglen,toggle
Heizung im Bad umschalten,toggle
Handtuchregal Status ändern,toggle
Heizlüfter switchen,toggle
Heizung umschalten,toggle
Handtuchwärmer togglen,toggle
Bewässerung Status wechseln,toggle
Rasensprenger umschalten,toggle
Wasser auf Rasen togglen,toggle
Gartenventil switchen,toggle
Kellerpumpe umschalten,toggle
Saugroboter Status ändern,toggle
Wischroboter togglen,toggle
Alarmanlage umschalten,toggle
Kameras Status wechseln,toggle
Überwachung switchen,toggle
System Modus umschalten,toggle
Sirene togglen,toggle
Bewegungsmelder Status ändern,toggle
Nachtlicht umschalten,toggle
Szene Guten Morgen togglen,toggle
Tagesmodus Status wechseln,toggle
Schalte die Sauna ein,turn_on
Mach den Whirlpool an,turn_on
Start die Pumpe im Teich,turn_on
Aktiviere den Springbrunnen,turn_on
Lass das Wasser laufen,turn_on
Gib der Gartenbewässerung Strom,turn_on
Mach die Lichter im Beet an,turn_on
Schalte die Wegbeleuchtung ein,turn_on
Erleuchte den Vorgarten,turn_on
Mach das Torlicht an,turn_on
Aktiviere die Garage,turn_on
Start den Rasenmäher,turn_on
Lass den Mähroboter fahren,turn_on
Mach die Außensteckdose an,turn_on
Gib Saft auf die Terrasse,turn_on
Schalte den Grill an,turn_on
Mach den Smoker an,turn_on
Start die Party-Beleuchtung,turn_on
Aktiviere Szene Grillabend,turn_on
Lass die Discokugel drehen,turn_on
Mach die Musik draußen an,turn_on
Schalte die Außenlautsprecher ein,turn_on
Bring die Markise raus,turn_on
Fahr das Sonnensegel aus,turn_on
Mach die Heizstrahler an,turn_on
Wärme die Terrasse auf,turn_on
Schalte das Infrarotlicht ein,turn_on
Aktiviere den Frostschutz,turn_on
Mach die Begleitheizung an,turn_on
Start die Poolheizung,turn_on
Schalte die Filteranlage ein,turn_on
Mach die Gegenstromanlage an,turn_on
Aktiviere die Massagedüsen,turn_on
Lass das Gebläse laufen,turn_on
Mach den Luftentfeuchter an,turn_on
Start die Trocknung im Keller,turn_on
Schalte die Kellerlüftung ein,turn_on
Mach das Licht im Heizungskeller an,turn_on
Erleuchte den Dachboden,turn_on
Gib Strom auf den Spitzboden,turn_on
Mach die Werkbankbeleuchtung an,turn_on
Schalte die Säge-Steckdose ein,turn_on
Aktivier den Kompressor,turn_on
Mach den 3D-Drucker an,turn_on
Start den Druckvorgang,turn_on
Gib dem Lasercutter Energie,turn_on
Schalte die Lötstation ein,turn_on
Mach den Lötkolben heiß,turn_on
Aktiviere das Ladegerät für die Akkus,turn_on
Lad die Batterien auf,turn_on
Schalte die Wallbox an,turn_on
Lass das Auto laden,turn_on
Start den Ladevorgang,turn_on
Mach die Dashcam an,turn_on
Aktiviere die Überwachungskamera,turn_on
Schalte den Stream ein,turn_on
Mach das Babyphone an,turn_on
Start die Nachtsicht,turn_on
Schalte den Monitor im Kinderzimmer an,turn_on
Mach das Nachtlicht an,turn_on
Lass den Sternenhimmel leuchten,turn_on
Aktiviere die Einschlafbegleitung,turn_on
Mach das White Noise Gerät an,turn_on
Start das Rauschen,turn_on
Schalte den Luftbefeuchter im Schlafzimmer ein,turn_on
Mach die Heizdecke an,turn_on
Wärm das Bett vor,turn_on
Schalte den Ventilator auf Stufe eins,turn_on
Schalte die Sauna aus,turn_off
Mach den Whirlpool aus,turn_off
Stopp die Pumpe im Teich,turn_off
Deaktiviere den Springbrunnen,turn_off
Lass das Wasser stoppen,turn_off
Nimm der Gartenbewässerung den Strom,turn_off
Mach die Lichter im Beet aus,turn_off
Schalte die Wegbeleuchtung ab,turn_off
Verdunkle den Vorgarten,turn_off
Mach das Torlicht aus,turn_off
Deaktiviere die Garage,turn_off
Stopp den Rasenmäher,turn_off
Lass den Mähroboter heimfahren,turn_off
Mach die Außensteckdose aus,turn_off
Nimm den Saft von der Terrasse,turn_off
Schalte den Grill ab,turn_off
Mach den Smoker aus,turn_off
Stopp die Party-Beleuchtung,turn_off
Beende Szene Grillabend,turn_off
Halt die Discokugel an,turn_off
Mach die Musik draußen aus,turn_off
Schalte die Außenlautsprecher ab,turn_off
Fahr die Markise rein,turn_off
Hol das Sonnensegel ein,turn_off
Mach die Heizstrahler aus,turn_off
Kühl die Terrasse ab,turn_off
Schalte das Infrarotlicht aus,turn_off
Deaktiviere den Frostschutz,turn_off
Mach die Begleitheizung aus,turn_off
Stopp die Poolheizung,turn_off
Schalte die Filteranlage ab,turn_off
Mach die Gegenstromanlage aus,turn_off
Deaktiviere die Massagedüsen,turn_off
Stopp das Gebläse,turn_off
Mach den Luftentfeuchter aus,turn_off
Beende die Trocknung im Keller,turn_off
Schalte die Kellerlüftung ab,turn_off
Mach das Licht im Heizungskeller aus,turn_off
Lösche das Licht am Dachboden,turn_off
Nimm den Strom vom Spitzboden,turn_off
Mach die Werkbankbeleuchtung aus,turn_off
Schalte die Säge-Steckdose ab,turn_off
Deaktivier den Kompressor,turn_off
Mach den 3D-Drucker aus,turn_off
Stopp den Druckvorgang,turn_off
Nimm dem Lasercutter die Energie,turn_off
Schalte die Lötstation ab,turn_off
Mach den Lötkolben aus,turn_off
Deaktiviere das Ladegerät,turn_off
Stopp das Laden der Batterien,turn_off
Schalte die Wallbox ab,turn_off
Beende das Laden vom Auto,turn_off
Stopp den Ladevorgang,turn_off
Mach die Dashcam aus,turn_off
Deaktiviere die Überwachungskamera,turn_off
Schalte den Stream ab,turn_off
Mach das Babyphone aus,turn_off
Stopp die Nachtsicht,turn_off
Schalte den Monitor im Kinderzimmer aus,turn_off
Mach das Nachtlicht aus,turn_off
Lösche den Sternenhimmel,turn_off
Deaktiviere die Einschlafbegleitung,turn_off
Mach das White Noise Gerät aus,turn_off
Stopp das Rauschen,turn_off
Schalte den Luftbefeuchter ab,turn_off
Mach die Heizdecke aus,turn_off
Schalte das Bett aus,turn_off
Stopp den Ventilator,turn_off
Sauna umschalten,toggle
Whirlpool togglen,toggle
Teichpumpe Status wechseln,toggle
Springbrunnen umschalten,toggle
Wasserlauf ändern,toggle
Bewässerung togglen,toggle
Beetbeleuchtung umschalten,toggle
Weglicht Status ändern,toggle
Vorgarten Licht switchen,toggle
Torlicht umschalten,toggle
Garagenstrom togglen,toggle
Rasenmäher Modus wechseln,toggle
Mähroboter umschalten,toggle
Außensteckdose togglen,toggle
Terrassenstrom wechseln,toggle
Grill umschalten,toggle
Smoker Status ändern,toggle
Partylicht togglen,toggle
Szene Grillen umschalten,toggle
Discokugel an oder aus,toggle
Außenmusik togglen,toggle
Lautsprecher draußen umschalten,toggle
Markise Status wechseln,toggle
Sonnensegel umschalten,toggle
Heizstrahler togglen,toggle
Wärme auf Terrasse ändern,toggle
Infrarot umschalten,toggle
Frostschutz togglen,toggle
Begleitheizung Status wechseln,toggle
Poolheizung umschalten,toggle
Filteranlage togglen,toggle
Gegenstromanlage umschalten,toggle
Massagedüsen Status ändern,toggle
Gebläse umschalten,toggle
Luftentfeuchter togglen,toggle
Trocknung umschalten,toggle
Lüftung im Keller togglen,toggle
Heizungskeller Licht wechseln,toggle
Dachboden Licht umschalten,toggle
Spitzboden Strom togglen,toggle
Werkbank Licht ändern,toggle
Säge Strom umschalten,toggle
Kompressor togglen,toggle
Drucker Status wechseln,toggle
Druckvorgang umschalten,toggle
Laser umschalten,toggle
Lötstation togglen,toggle
Lötkolben Status ändern,toggle
Ladegerät umschalten,toggle
Batterieladen togglen,toggle
Wallbox umschalten,toggle
Auto laden Status wechseln,toggle
Ladevorgang togglen,toggle
Dashcam umschalten,toggle
Kamera Status ändern,toggle
Stream togglen,toggle
Babyphone umschalten,toggle
Nachtsicht togglen,toggle
Kindermonitor Status wechseln,toggle
Nachtlicht umschalten,toggle
Sternenhimmel togglen,toggle
Einschlafhilfe umschalten,toggle
White Noise togglen,toggle
Rauschen an oder aus,toggle
Befeuchter umschalten,toggle
Heizdecke togglen,toggle
Bettwärmer Status ändern,toggle
Ventilator umschalten,toggle
